source_file,timestamp,model,prompt_id,use_case,difficulty,question,answer,latency_seconds,input_tokens,output_tokens,total_tokens,error
chat_logs_minimax_m3.csv,2026-07-08T12:32:06,minimax/minimax-m3,customer_support_hard_11,customer_support,hard,A customer wants two drinks and two food items for under 10 euros. Suggest a valid combination and calculate the total.,,5.563,718,600,1318,
chat_logs_qwen3.6_plus.csv,2026-07-08T14:25:23,qwen/qwen3.6-plus,website_generation_hard_02,website_generation,hard,Create a complete HTML and CSS page for a restaurant reservation system with form validation hints.,,164.717,0,0,0,"HTTPSConnectionPool(host='openrouter.ai', port=443): Read timed out."
chat_logs_qwen3.7_max.csv,2026-07-08T14:25:23,qwen/qwen3.7-max,customer_support_hard_08,customer_support,hard,A customer asks for a recommendation for someone who does not eat pork. Answer carefully using only visible menu names.,,137.697,0,0,0,"HTTPSConnectionPool(host='openrouter.ai', port=443): Read timed out."
chat_logs_qwen3.7_max.csv,2026-07-08T14:30:35,qwen/qwen3.7-max,customer_support_hard_20,customer_support,hard,"A customer wants to avoid pork and asks about Brioche with ham, Milano salami, and Chicken sandwich. Explain what can and cannot be safely recommended from the visible names.",,3.681,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:31:30,qwen/qwen3.7-max,document_understanding_easy_07,document_understanding,easy,Are refunds available for used digital products?,,5.74,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:31:56,qwen/qwen3.7-max,document_understanding_easy_11,document_understanding,easy,What must refund requests include?,,4.153,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:32:17,qwen/qwen3.7-max,document_understanding_easy_14,document_understanding,easy,What should support agents avoid doing?,,5.702,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:32:21,qwen/qwen3.7-max,document_understanding_easy_15,document_understanding,easy,Who reviews same-day cancellations?,,4.715,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:32:36,qwen/qwen3.7-max,document_understanding_easy_17,document_understanding,easy,What payment data rule is stated in the document?,,4.456,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:33:35,qwen/qwen3.7-max,document_understanding_medium_02,document_understanding,medium,Can a customer get a refund for a used digital product? Answer based only on the document.,,4.656,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:33:42,qwen/qwen3.7-max,document_understanding_medium_03,document_understanding,medium,What exception is mentioned for VIP customers?,,6.945,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_max.csv,2026-07-08T14:33:47,qwen/qwen3.7-max,document_understanding_medium_04,document_understanding,medium,Extract the delivery time and missing item rule from the document.,,5.121,0,0,0,"429: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3.7-max is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Alibaba"",""is_byok"":false}},""user_id"":""user_3GAljIguJ9ISsXYMwRisBowwpV6""}"
chat_logs_qwen3.7_plus.csv,2026-07-08T14:25:23,qwen/qwen3.7-plus,website_generation_medium_20,website_generation,medium,"Create a responsive comparison section for three restaurant service options: dine-in, takeaway, delivery.",,223.471,0,0,0,"HTTPSConnectionPool(host='openrouter.ai', port=443): Read timed out."
